cfo,sto,snr,txp,ber,invalid
80.32862272924967,5,-19.04,0,0.52,1
3271.9402509738457,0,-4.62,0,0.475,1
-766.2083991348229,2,-13.91,0,0.48375,1
-13231.607064545575,5,-17.62,0,0.5,1
-386.3707807348519,2,-15.06,0,0.51375,1
-1106.0425363454465,1,2.82,0,0.53,1
53.95018317263927,2,-16.34,0,0.4975,1
9304.363239535345,5,3.17,0,0.46125,1
14565.294361426557,1,-18.74,0,0.46125,1
803.8700577009524,4,-20.19,0,0.48875,1
22296.179173531425,0,,0,0.52,1
153.0252116985109,2,-16.55,0,0.50375,1
15780.14319637382,4,-15.74,0,0.505,1
-20308.694060618203,1,2.8,0,0.5275,1
15020.444934224684,3,-16.6,0,0.49625,1
-7323.045810593914,7,-17.22,0,0.5175,1
-3542.3191764672356,0,2.79,0,0.50875,1
-18712.880425601797,5,-3.71,0,0.515,1
-4725.399915060549,7,-29.9,0,0.50875,1
11069.775381123962,1,,0,0.4575,1
7484.021840563564,1,-18.92,0,0.49375,1
-3871.4732280741728,4,2.33,0,0.50625,1
2497.443657122717,0,-13.24,0,0.4875,1
-10495.800198474257,1,2.48,0,0.5125,1
-10569.590540744071,1,2.37,0,0.53125,1
-6604.317007504995,1,-16.35,0,0.5225,1
158.06442665291428,1,2.06,0,0.5,1
5017.258424527195,2,2.85,0,0.48125,1
16105.708027624618,0,-28.55,0,0.5175,1
3493.1137570808273,1,-17.37,0,0.50375,1
-276.2973609213295,0,,0,0.51,1
-12751.787579446247,4,-16.98,0,0.51125,1
6121.113169415634,1,3.0,0,0.48,1
-2356.173299131652,0,,0,0.48375,1
7974.165043060386,5,2.29,0,0.455,1
-2550.9171453157533,1,-16.2,0,0.49625,1
-111.40033782516394,2,-14.8,0,0.48375,1
5130.414213803526,7,2.28,0,0.51,1
6166.2224017962235,1,-13.07,0,0.4925,1
884.1696193756529,3,-17.32,0,0.46625,1
9280.513035459408,0,-4.01,0,0.46625,1
-12080.928691355028,0,-16.77,0,0.50875,1
15049.57930700899,0,1.13,0,0.5025,1
2594.195175379574,3,-22.39,0,0.515,1
-2305.553767047257,1,-16.15,0,0.49625,1
12855.643029177778,1,,0,0.48375,1
-30.334859913290984,2,-22.36,0,0.505,1
3068.7361108942077,3,-17.5,0,0.51125,1
1968.8744522031786,7,,0,0.49,1
-287.9195638540608,0,-17.02,0,0.50625,1
13581.068574175388,4,,0,0.51,1
-7121.234067762611,3,-7.52,0,0.50625,1
-924.9036823535428,0,2.46,0,0.46875,1
-4810.806673892673,0,-18.15,0,0.52875,1
-3853.230236601376,0,2.76,0,0.52625,1
13711.275521491261,1,2.32,0,0.4625,1
-1825.3436971623942,3,-12.26,0,0.5075,1
220.43877635912577,0,2.15,0,0.49625,1
5732.571988291556,1,-14.06,0,0.5,1
