;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
237,-2.963,3.00144,3.18446
238,-2.962,3.01974,3.20276
239,-2.961,3.01974,3.20276
240,-2.96,3.01974,3.22106
241,-2.959,3.01974,3.22106
242,-2.958,3.07465,3.23936
243,-2.957,3.03804,3.23936
244,-2.956,3.03804,3.23936
245,-2.955,3.03804,3.23936
246,-2.954,3.01974,3.23936
247,-2.953,3.01974,3.20276
248,-2.952,3.01974,3.20276
249,-2.951,3.01974,3.20276
250,-2.95,3.01974,3.20276
251,-2.949,3.00144,3.20276
252,-2.948,3.00144,3.20276
253,-2.947,3.00144,3.18446
254,-2.946,3.00144,3.18446
255,-2.945,3.01974,3.20276
256,-2.944,3.03804,3.22106
257,-2.943,3.00144,3.18446
258,-2.942,3.01974,3.20276
259,-2.941,3.01974,3.20276
260,-2.94,3.01974,3.22106
261,-2.939,3.03804,3.22106
262,-2.938,3.03804,3.25766
263,-2.937,3.03804,3.23936
264,-2.936,3.03804,3.23936
265,-2.935,3.03804,3.23936
266,-2.934,3.01974,3.23936
267,-2.933,3.01974,3.20276
268,-2.932,3.01974,3.20276
269,-2.931,3.01974,3.20276
270,-2.93,3.03804,3.20276
271,-2.929,3.00144,3.22106
272,-2.928,3.00144,3.18446
273,-2.927,3.00144,3.18446
274,-2.926,3.00144,3.18446
275,-2.925,3.01974,3.20276
276,-2.924,3.03804,3.22106
277,-2.923,3.00144,3.18446
278,-2.922,3.01974,3.20276
279,-2.921,3.01974,3.20276
280,-2.92,3.01974,3.22106
281,-2.919,3.03804,3.22106
282,-2.918,3.03804,3.25766
283,-2.917,3.03804,3.23936
284,-2.916,3.03804,3.23936
285,-2.915,3.03804,3.23936
286,-2.914,3.01974,3.23936
287,-2.913,3.01974,3.20276
288,-2.912,3.01974,3.20276
289,-2.911,3.01974,3.20276
290,-2.91,3.01974,3.20276
291,-2.909,3.01974,3.20276
292,-2.908,3.00144,3.20276
293,-2.907,3.00144,3.18446
294,-2.906,3.00144,3.18446
295,-2.905,3.01974,3.20276
296,-2.904,3.03804,3.22106
297,-2.903,3.00144,3.18446
298,-2.902,3.01974,3.20276
299,-2.901,3.01974,3.20276
300,-2.9,3.01974,3.22106
301,-2.899,3.03804,3.22106
302,-2.898,3.03804,3.23936
303,-2.897,3.03804,3.23936
304,-2.896,3.03804,3.23936
305,-2.895,3.03804,3.23936
306,-2.894,3.01974,3.22106
307,-2.893,3.01974,3.20276
308,-2.892,3.00144,3.20276
309,-2.891,3.00144,3.20276
310,-2.89,3.00144,3.20276
311,-2.889,3.00144,3.22106
312,-2.888,3.00144,3.18446
313,-2.887,2.98314,3.18446
314,-2.886,2.98314,3.18446
315,-2.885,3.00144,3.20276
316,-2.884,3.00144,3.22106
317,-2.883,2.98314,3.18446
318,-2.882,3.01974,3.20276
319,-2.881,3.00144,3.20276
320,-2.88,3.00144,3.22106
321,-2.879,3.01974,3.22106
322,-2.878,3.01974,3.23936
323,-2.877,3.01974,3.23936
324,-2.876,3.01974,3.23936
325,-2.875,3.01974,3.23936
326,-2.874,3.00144,3.23936
327,-2.873,3.00144,3.20276
328,-2.872,3.00144,3.20276
329,-2.871,3.00144,3.20276
330,-2.87,3.00144,3.20276
331,-2.869,3.00144,3.22106
332,-2.868,3.00144,3.18446
333,-2.867,2.98314,3.18446
334,-2.866,2.98314,3.18446
335,-2.865,3.00144,3.20276
336,-2.864,3.01974,3.22106
337,-2.863,2.98314,3.18446
338,-2.862,3.00144,3.20276
339,-2.861,3.00144,3.20276
340,-2.86,3.00144,3.22106
341,-2.859,3.01974,3.22106
342,-2.858,3.01974,3.25766
343,-2.857,3.01974,3.23936
344,-2.856,3.01974,3.23936
345,-2.855,3.01974,3.23936
346,-2.854,3.00144,3.23936
347,-2.853,3.00144,3.20276
348,-2.852,3.00144,3.20276
349,-2.851,3.00144,3.20276
350,-2.85,3.00144,3.20276
351,-2.849,3.01974,3.22106
