;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
247,0.247,0.271325,-0.0549044
248,0.248,0.271325,-0.0549044
249,0.249,0.271325,-0.0549044
250,0.25,0.271325,-0.0549044
251,0.251,0.271325,-0.0549044
252,0.252,0.273064,-0.0549044
253,0.253,0.262631,-0.0549044
254,0.254,0.427822,-0.0549044
255,0.255,0.559974,-0.0549044
256,0.256,0.467815,-0.0549044
257,0.257,0.304363,-0.0549044
258,0.258,0.280019,-0.0549044
259,0.259,0.274803,-0.0549044
260,0.26,0.273064,-0.0549044
261,0.261,0.271325,-0.0549044
262,0.262,0.271325,-0.0549044
263,0.263,0.271325,-0.0549044
264,0.264,0.271325,-0.0549044
265,0.265,0.271325,-0.0549044
266,0.266,0.271325,-0.0549044
267,0.267,0.271325,-0.0549044
268,0.268,0.271325,-0.0549044
269,0.269,0.271325,-0.0549044
270,0.27,0.271325,-0.0549044
271,0.271,0.271325,-0.0549044
272,0.272,0.271325,-0.0549044
273,0.273,0.271325,-0.0549044
274,0.274,0.271325,-0.0549044
275,0.275,0.271325,-0.0549044
276,0.276,0.271325,-0.0549044
277,0.277,0.271325,-0.0549044
278,0.278,0.271325,-0.0549044
279,0.279,0.271325,-0.0549044
280,0.28,0.271325,-0.0549044
281,0.281,0.271325,-0.0549044
282,0.282,0.271325,-0.0549044
283,0.283,0.271325,-0.0549044
284,0.284,0.271325,-0.0549044
285,0.285,0.271325,-0.0549044
286,0.286,0.271325,-0.0549044
287,0.287,0.271325,-0.0549044
288,0.288,0.271325,-0.0549044
289,0.289,0.271325,-0.0549044
290,0.29,0.271325,-0.0549044
291,0.291,0.271325,-0.0549044
292,0.292,0.271325,-0.0549044
293,0.293,0.271325,-0.0549044
294,0.294,0.271325,-0.0549044
295,0.295,0.271325,-0.0549044
296,0.296,0.271325,-0.0549044
297,0.297,0.271325,-0.0549044
298,0.298,0.271325,-0.0549044
299,0.299,0.271325,-0.0549044
300,0.3,0.271325,-0.0549044
301,0.301,0.271325,-0.0549044
302,0.302,0.273064,-0.0549044
303,0.303,0.266108,-0.0549044
304,0.304,0.37044,-0.0549044
305,0.305,0.553019,-0.0549044
306,0.306,0.513025,-0.0549044
307,0.307,0.318274,-0.0549044
308,0.308,0.281758,-0.0549044
309,0.309,0.273064,-0.0549044
310,0.31,0.273064,-0.0549044
311,0.311,0.271325,-0.0549044
312,0.312,0.271325,-0.0549044
313,0.313,0.271325,-0.0549044
314,0.314,0.271325,-0.0549044
315,0.315,0.271325,-0.0549044
316,0.316,0.271325,-0.0549044
317,0.317,0.271325,-0.0549044
318,0.318,0.271325,-0.0549044
319,0.319,0.271325,-0.0549044
320,0.32,0.271325,-0.0549044
321,0.321,0.271325,-0.0549044
322,0.322,0.271325,-0.0549044
323,0.323,0.271325,-0.0549044
324,0.324,0.271325,-0.0549044
325,0.325,0.271325,-0.0549044
326,0.326,0.271325,-0.0549044
327,0.327,0.271325,-0.0549044
328,0.328,0.271325,-0.0549044
329,0.329,0.271325,-0.0549044
330,0.33,0.271325,-0.0549044
331,0.331,0.271325,-0.0549044
332,0.332,0.271325,-0.0549044
333,0.333,0.271325,-0.0549044
334,0.334,0.271325,-0.0549044
335,0.335,0.271325,-0.0549044
336,0.336,0.271325,-0.0549044
337,0.337,0.271325,-0.0549044
338,0.338,0.271325,-0.0549044
339,0.339,0.271325,-0.0549044
340,0.34,0.271325,-0.0549044
341,0.341,0.271325,-0.0549044
342,0.342,0.271325,-0.0549044
343,0.343,0.271325,-0.0549044
344,0.344,0.271325,-0.0549044
345,0.345,0.271325,-0.0549044
346,0.346,0.271325,-0.0549044
347,0.347,0.271325,-0.0549044
348,0.348,0.271325,-0.0549044
349,0.349,0.271325,-0.0549044
350,0.35,0.271325,-0.0549044
351,0.351,0.271325,-0.0549044
352,0.352,0.271325,-0.0549044
353,0.353,0.273064,-0.0549044
354,0.354,0.323491,-0.0549044
355,0.355,0.539108,-0.0549044
356,0.356,0.542586,-0.0549044
357,0.357,0.342618,-0.0549044
358,0.358,0.285236,-0.0549044
359,0.359,0.276542,-0.0549044
