;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
334,0.334,0.253115,-0.0549044
335,0.335,0.253115,-0.0549044
336,0.336,0.253115,-0.0549044
337,0.337,0.253115,-0.0549044
338,0.338,0.253115,-0.0549044
339,0.339,0.253115,-0.0549044
340,0.34,0.253115,-0.0549044
341,0.341,0.253115,-0.0549044
342,0.342,0.253115,-0.0549044
343,0.343,0.253115,-0.0549044
344,0.344,0.253115,-0.0549044
345,0.345,0.253115,-0.0366029
346,0.346,0.253115,-0.0366029
347,0.347,0.253115,-0.0366029
348,0.348,0.253115,0
349,0.349,0.253115,0
350,0.35,0.253115,-0.0366029
351,0.351,0.253115,-0.0366029
352,0.352,0.253115,-0.0366029
353,0.353,0.253115,-0.0549044
354,0.354,0.253115,-0.0549044
355,0.355,0.253115,-0.0549044
356,0.356,0.253115,-0.0549044
357,0.357,0.253115,-0.0549044
358,0.358,0.253115,-0.0549044
359,0.359,0.253115,-0.0549044
360,0.36,0.253115,-0.0549044
361,0.361,0.253115,-0.0549044
362,0.362,0.253115,-0.0549044
363,0.363,0.253115,-0.0549044
364,0.364,0.253115,-0.0549044
365,0.365,0.253115,-0.0366029
366,0.366,0.253115,-0.0366029
367,0.367,0.253115,-0.0366029
368,0.368,0.253115,0
369,0.369,0.253115,0
370,0.37,0.253115,0
371,0.371,0.253115,0
372,0.372,0.253115,-0.0366029
373,0.373,0.253115,-0.0366029
374,0.374,0.258332,-0.0366029
375,0.375,0.260071,-0.0549044
376,0.376,0.439172,-0.0549044
377,0.377,0.501771,-0.0549044
378,0.378,0.451344,-0.0549044
379,0.379,0.29137,-0.0549044
380,0.38,0.26181,-0.0549044
381,0.381,0.258332,-0.0549044
382,0.382,0.253115,-0.0549044
383,0.383,0.253115,-0.0549044
384,0.384,0.253115,-0.0549044
385,0.385,0.253115,-0.0366029
386,0.386,0.253115,-0.0366029
387,0.387,0.253115,-0.0366029
388,0.388,0.253115,0
389,0.389,0.253115,0
390,0.39,0.253115,0
391,0.391,0.253115,0
392,0.392,0.253115,-0.0366029
393,0.393,0.253115,-0.0366029
394,0.394,0.253115,-0.0366029
395,0.395,0.253115,-0.0549044
396,0.396,0.253115,-0.0549044
397,0.397,0.253115,-0.0549044
398,0.398,0.253115,-0.0549044
399,0.399,0.253115,-0.0549044
400,0.4,0.253115,-0.0549044
401,0.401,0.253115,-0.0549044
402,0.402,0.253115,-0.0549044
403,0.403,0.253115,-0.0549044
404,0.404,0.253115,-0.0549044
405,0.405,0.253115,-0.0549044
406,0.406,0.253115,0
407,0.407,0.253115,0
408,0.408,0.253115,0
409,0.409,0.253115,0
410,0.41,0.253115,0
411,0.411,0.253115,0
412,0.412,0.253115,-0.0549044
413,0.413,0.253115,-0.0549044
414,0.414,0.253115,-0.0549044
415,0.415,0.253115,-0.0549044
416,0.416,0.253115,-0.0549044
417,0.417,0.253115,-0.0549044
418,0.418,0.253115,-0.0549044
419,0.419,0.253115,-0.0549044
420,0.42,0.253115,-0.0549044
421,0.421,0.253115,-0.0549044
422,0.422,0.253115,-0.0549044
423,0.423,0.253115,-0.0549044
424,0.424,0.253115,-0.0549044
425,0.425,0.253115,-0.0549044
426,0.426,0.253115,0
427,0.427,0.253115,0
428,0.428,0.253115,0
429,0.429,0.253115,0
430,0.43,0.253115,0
431,0.431,0.253115,0
432,0.432,0.253115,0
433,0.433,0.253115,-0.0549044
434,0.434,0.256593,-0.0549044
435,0.435,0.249638,-0.0549044
436,0.436,0.39744,-0.0549044
437,0.437,0.500032,-0.0549044
438,0.438,0.480905,-0.0549044
439,0.439,0.312236,-0.0549044
440,0.44,0.267026,-0.0549044
441,0.441,0.258332,-0.0549044
442,0.442,0.253115,-0.0549044
443,0.443,0.253115,-0.0549044
444,0.444,0.253115,-0.0549044
445,0.445,0.253115,-0.0549044
446,0.446,0.253115,-0.0549044
447,0.447,0.253115,0
448,0.448,0.253115,0
449,0.449,0.253115,0
450,0.45,0.253115,0
451,0.451,0.253115,-0.0366029
452,0.452,0.253115,-0.0366029
453,0.453,0.253115,-0.0366029
454,0.454,0.253115,-0.0549044
455,0.455,0.253115,-0.0549044
456,0.456,0.253115,-0.0549044
457,0.457,0.253115,-0.0549044
458,0.458,0.253115,-0.0549044
459,0.459,0.253115,-0.0549044
460,0.46,0.253115,-0.0549044
461,0.461,0.253115,-0.0549044
462,0.462,0.253115,-0.0549044
463,0.463,0.253115,-0.0549044
464,0.464,0.253115,-0.0366029
465,0.465,0.253115,-0.0366029
466,0.466,0.253115,-0.0366029
467,0.467,0.253115,0
468,0.468,0.253115,0
469,0.469,0.253115,0
470,0.47,0.253115,0
471,0.471,0.253115,0
472,0.472,0.253115,-0.0549044
473,0.473,0.253115,-0.0549044
474,0.474,0.253115,-0.0549044
475,0.475,0.253115,-0.0549044
476,0.476,0.253115,-0.0549044
477,0.477,0.253115,-0.0549044
478,0.478,0.253115,-0.0549044
479,0.479,0.253115,-0.0549044
480,0.48,0.253115,-0.0549044
481,0.481,0.253115,-0.0549044
482,0.482,0.253115,-0.0549044
483,0.483,0.253115,-0.0549044
484,0.484,0.253115,-0.0549044
485,0.485,0.253115,-0.0549044
486,0.486,0.253115,-0.0549044
487,0.487,0.253115,0
488,0.488,0.253115,0
489,0.489,0.253115,0
490,0.49,0.253115,0
491,0.491,0.253115,0
492,0.492,0.253115,-0.0549044
493,0.493,0.253115,-0.0549044
494,0.494,0.256593,-0.0549044
495,0.495,0.247899,-0.0549044
496,0.496,0.35223,-0.0549044
497,0.497,0.494816,-0.0549044
498,0.498,0.494816,-0.0549044
499,0.499,0.343536,-0.0549044
500,0.5,0.270504,-0.0549044
501,0.501,0.258332,-0.0549044
502,0.502,0.256593,-0.0549044
503,0.503,0.253115,-0.0549044
504,0.504,0.253115,-0.0549044
505,0.505,0.253115,-0.0549044
506,0.506,0.253115,-0.0549044
507,0.507,0.253115,0
508,0.508,0.253115,0
509,0.509,0.253115,-0.0366029
510,0.51,0.253115,-0.0366029
511,0.511,0.253115,-0.0366029
512,0.512,0.253115,-0.0549044
513,0.513,0.253115,-0.0549044
514,0.514,0.253115,-0.0549044
515,0.515,0.253115,-0.0549044
516,0.516,0.253115,-0.0549044
517,0.517,0.253115,-0.0549044
518,0.518,0.253115,-0.0549044
519,0.519,0.253115,-0.0549044
520,0.52,0.253115,-0.0549044
521,0.521,0.253115,-0.0549044
522,0.522,0.253115,-0.0549044
523,0.523,0.253115,-0.0549044
524,0.524,0.253115,-0.0366029
525,0.525,0.253115,-0.0366029
526,0.526,0.253115,-0.0366029
527,0.527,0.253115,0
528,0.528,0.253115,0
529,0.529,0.253115,0
530,0.53,0.253115,0
531,0.531,0.253115,0
532,0.532,0.253115,-0.0549044
533,0.533,0.253115,-0.0549044
534,0.534,0.253115,-0.0549044
535,0.535,0.253115,-0.0549044
536,0.536,0.253115,-0.0549044
537,0.537,0.253115,-0.0549044
538,0.538,0.253115,-0.0549044
539,0.539,0.253115,-0.0549044
540,0.54,0.253115,-0.0549044
541,0.541,0.253115,-0.0549044
542,0.542,0.253115,-0.0549044
543,0.543,0.253115,-0.0549044
544,0.544,0.253115,-0.0366029
545,0.545,0.253115,-0.0366029
546,0.546,0.253115,-0.0366029
547,0.547,0.253115,-0.0366029
548,0.548,0.253115,0
549,0.549,0.253115,0
550,0.55,0.253115,0
551,0.551,0.253115,0
552,0.552,0.253115,0
553,0.553,0.253115,-0.0549044
554,0.554,0.253115,-0.0549044
555,0.555,0.253115,-0.0549044
556,0.556,0.305281,-0.0549044
557,0.557,0.480905,-0.0549044
558,0.558,0.498293,-0.0549044
559,0.559,0.383529,-0.0549044
560,0.56,0.273982,-0.0549044
561,0.561,0.260071,-0.0549044
562,0.562,0.256593,-0.0549044
563,0.563,0.253115,-0.0549044
564,0.564,0.253115,-0.0549044
565,0.565,0.253115,-0.0549044
566,0.566,0.253115,0
567,0.567,0.253115,0
568,0.568,0.253115,0
569,0.569,0.253115,0
570,0.57,0.253115,-0.0366029
571,0.571,0.253115,-0.0366029
572,0.572,0.253115,-0.0366029
573,0.573,0.253115,-0.0549044
574,0.574,0.253115,-0.0549044
575,0.575,0.253115,-0.0549044
576,0.576,0.253115,-0.0549044
577,0.577,0.253115,-0.0549044
578,0.578,0.253115,-0.0549044
579,0.579,0.253115,-0.0549044
580,0.58,0.253115,-0.0549044
581,0.581,0.253115,-0.0549044
582,0.582,0.253115,-0.0549044
583,0.583,0.253115,-0.0549044
584,0.584,0.253115,-0.0549044
585,0.585,0.253115,-0.0549044
586,0.586,0.253115,-0.0549044
587,0.587,0.253115,0
588,0.588,0.253115,0
589,0.589,0.253115,0
590,0.59,0.253115,0
591,0.591,0.253115,0
592,0.592,0.253115,-0.0549044
593,0.593,0.253115,-0.0549044
594,0.594,0.253115,-0.0549044
595,0.595,0.253115,-0.0549044
596,0.596,0.253115,-0.0549044
597,0.597,0.253115,-0.0549044
598,0.598,0.253115,-0.0549044
599,0.599,0.253115,-0.0549044
600,0.6,0.253115,-0.0549044
601,0.601,0.253115,-0.0549044
602,0.602,0.253115,-0.0549044
